x-axis,1,2,3
second,Volt,Ampere,Volt
-2.3400E-03,+172.6222E-03,+1.8840E-03,-325.3770E-03
-2.3300E-03,+100.0000E-03,+4.0888E-03,-455.0667E-03
-2.3200E-03,+100.0000E-03,+3.9586E-03,-325.3770E-03
-2.3100E-03,+170.0187E-03,+4.9959E-03,-325.3770E-03
-2.3000E-03,+100.0000E-03,+1.4950E-03,-325.3770E-03
-2.2900E-03,+100.0000E-03,+3.0504E-03,-325.3770E-03
-2.2800E-03,+100.0000E-03,+4.0878E-03,-325.3770E-03
-2.2700E-03,+100.0000E-03,+1.8850E-03,-325.3770E-03
-2.2600E-03,+112.9462E-03,+1.4950E-03,-494.0166E-03
-2.2500E-03,+100.0000E-03,+3.1796E-03,-409.6082E-03
-2.2400E-03,+100.0000E-03,+5.5151E-03,-390.2851E-03
-2.2300E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-2.2200E-03,+164.8727E-03,+6.2915E-03,-325.3770E-03
-2.2100E-03,+144.1264E-03,+5.5151E-03,-325.3770E-03
-2.2000E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-2.1900E-03,+100.0000E-03,+1.6267E-03,-325.3770E-03
-2.1800E-03,+118.1125E-03,+1.4950E-03,-370.6582E-03
-2.1700E-03,+100.0000E-03,+1.4950E-03,-429.2351E-03
-2.1600E-03,+100.0000E-03,+1.4950E-03,-526.3820E-03
-2.1500E-03,+100.0507E-03,+5.5125E-03,-526.2554E-03
-2.1400E-03,+100.0000E-03,+4.4803E-03,-325.3770E-03
-2.1300E-03,+180.4020E-03,+3.5671E-03,-325.3770E-03
-2.1200E-03,+118.2138E-03,+1.4950E-03,-370.9115E-03
-2.1100E-03,+100.0000E-03,+9.4086E-03,-325.3770E-03
-2.1000E-03,+100.0000E-03,+2.6589E-03,-383.5740E-03
-2.0900E-03,+180.4020E-03,+3.3138E-03,-325.3770E-03
-2.0800E-03,+115.6306E-03,+1.4950E-03,-487.3054E-03
-2.0700E-03,+100.0000E-03,+5.2593E-03,-338.1661E-03
-2.0600E-03,+100.0000E-03,+2.7881E-03,-325.3770E-03
-2.0500E-03,+133.7938E-03,+5.5151E-03,-325.3770E-03
-2.0400E-03,+100.0000E-03,+1.4950E-03,-493.7633E-03
-2.0300E-03,+100.0000E-03,+5.1301E-03,-325.3770E-03
-2.0200E-03,+100.0000E-03,+1.4950E-03,-325.3770E-03
-2.0100E-03,+149.1914E-03,+3.0555E-03,-526.3820E-03
-2.0000E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.9900E-03,+100.0000E-03,+2.0091E-03,-325.3770E-03
-1.9800E-03,+149.3738E-03,+1.4950E-03,-325.3770E-03
-1.9700E-03,+151.7745E-03,+2.9264E-03,-454.8134E-03
-1.9600E-03,+100.0000E-03,+1.4950E-03,-325.3770E-03
-1.9500E-03,+100.0000E-03,+5.5151E-03,-526.3820E-03
-1.9400E-03,+133.6114E-03,+7.8546E-03,-325.3770E-03
-1.9300E-03,+154.3577E-03,+8.2330E-03,-325.3770E-03
-1.9200E-03,+100.0000E-03,+1.7599E-03,-325.3770E-03
-1.9100E-03,+100.0000E-03,+4.7427E-03,-325.3770E-03
-1.9000E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.8900E-03,+100.0000E-03,+4.3420E-03,-325.3770E-03
-1.8800E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.8700E-03,+100.0000E-03,+1.4950E-03,-325.3770E-03
-1.8600E-03,+180.4020E-03,+1.4950E-03,-422.3213E-03
-1.8500E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.8400E-03,+100.0000E-03,+1.4950E-03,-526.0528E-03
-1.8300E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.8200E-03,+100.0000E-03,+7.5831E-03,-325.3770E-03
-1.8100E-03,+100.0000E-03,+5.5151E-03,-371.1141E-03
-1.8000E-03,+100.0000E-03,+5.3925E-03,-331.5056E-03
-1.7900E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.7800E-03,+143.9440E-03,+3.3179E-03,-325.3770E-03
-1.7700E-03,+100.0000E-03,+4.7295E-03,-364.6562E-03
-1.7600E-03,+100.0000E-03,+5.5151E-03,-513.7955E-03
-1.7500E-03,+100.0000E-03,+5.5151E-03,-461.9298E-03
-1.7400E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.7300E-03,+100.0000E-03,+2.1514E-03,-493.5607E-03
-1.7200E-03,+100.0000E-03,+5.1342E-03,-325.3770E-03
-1.7100E-03,+100.0000E-03,+1.4950E-03,-325.3770E-03
-1.7000E-03,+100.0000E-03,+3.9505E-03,-325.3770E-03
-1.6900E-03,+100.0000E-03,+4.9878E-03,-526.3820E-03
-1.6800E-03,+100.0000E-03,+5.0050E-03,-500.8797E-03
-1.6700E-03,+100.0000E-03,+3.9677E-03,-325.3770E-03
-1.6600E-03,+100.0000E-03,+4.0797E-03,-397.1483E-03
-1.6500E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.6400E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.6300E-03,+100.0000E-03,+3.8386E-03,-442.5561E-03
-1.6200E-03,+100.0000E-03,+4.2088E-03,-325.3770E-03
-1.6100E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.6000E-03,+100.0000E-03,+2.2633E-03,-325.3770E-03
-1.5900E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.5800E-03,+156.8598E-03,+5.5151E-03,-384.2325E-03
-1.5700E-03,+100.0000E-03,+5.5151E-03,-332.3668E-03
-1.5600E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.5500E-03,+138.6967E-03,+1.4950E-03,-429.6404E-03
-1.5400E-03,+100.0000E-03,+2.5429E-03,-377.7746E-03
-1.5300E-03,+100.0000E-03,+5.5044E-03,-525.8501E-03
-1.5200E-03,+100.0000E-03,+2.5217E-03,-376.7108E-03
-1.5100E-03,+141.2798E-03,+5.5151E-03,-428.5766E-03
-1.5000E-03,+162.0261E-03,+5.5151E-03,-325.3770E-03
-1.4900E-03,+100.0000E-03,+1.6135E-03,-520.4560E-03
-1.4800E-03,+100.0000E-03,+2.6508E-03,-325.3770E-03
-1.4700E-03,+100.0000E-03,+3.6881E-03,-325.3770E-03
-1.4600E-03,+100.0000E-03,+5.5151E-03,-364.8588E-03
-1.4500E-03,+104.9536E-03,+1.7427E-03,-513.9981E-03
-1.4400E-03,+100.0000E-03,+4.2301E-03,-389.6266E-03
-1.4300E-03,+100.0000E-03,+1.4950E-03,-410.2667E-03
-1.4200E-03,+100.0000E-03,+2.1555E-03,-325.3770E-03
-1.4100E-03,+100.0000E-03,+1.8718E-03,-344.2188E-03
-1.4000E-03,+152.1190E-03,+4.1009E-03,-455.6745E-03
-1.3900E-03,+100.0000E-03,+3.9464E-03,-325.3770E-03
-1.3800E-03,+100.0000E-03,+4.9838E-03,-325.3770E-03
-1.3700E-03,+100.0000E-03,+1.4950E-03,-325.3770E-03
-1.3600E-03,+100.0000E-03,+1.4950E-03,-449.2166E-03
-1.3500E-03,+100.0000E-03,+4.0756E-03,-325.3770E-03
-1.3400E-03,+100.0000E-03,+5.1129E-03,-325.3770E-03
-1.3300E-03,+32.3010E-03,+2.1301E-03,-494.6245E-03
-1.3200E-03,+100.0000E-03,+5.5151E-03,-442.7588E-03
-1.3100E-03,+100.0000E-03,+4.2048E-03,-325.3770E-03
-1.3000E-03,+100.0000E-03,+1.4950E-03,-526.3820E-03
-1.2900E-03,+100.0000E-03,+1.4950E-03,-363.5924E-03
-1.2800E-03,+100.0000E-03,+5.5151E-03,-415.4582E-03
-1.2700E-03,+100.0000E-03,+4.3339E-03,-325.3770E-03
-1.2600E-03,+102.8770E-03,+1.4950E-03,-325.3770E-03
-1.2500E-03,+100.0000E-03,+1.4950E-03,-325.3770E-03
-1.2400E-03,+138.6156E-03,+1.4950E-03,-421.9161E-03
-1.2300E-03,+100.0000E-03,+1.4950E-03,-473.7818E-03
-1.2200E-03,+100.0000E-03,+5.5151E-03,-325.3770E-03
-1.2100E-03,+100.0000E-03,+5.5151E-03,-526.3820E-03
-1.2000E-03,+100.0000E-03,+3.4551E-03,-325.3770E-03
-1.1900E-03,+100.0000E-03,+1.4950E-03,-325.3770E-03
-1.1800E-03,+100.0000E-03,+1.4950E-03,-331.1004E-03
-1.1700E-03,+100.0000E-03,+1.4950E-03,-325.3770E-03
-1.1600E-03,+136.6201E-03,+3.3260E-03,-325.3770E-03
-1.1500E-03,+100.0000E-03,+4.7214E-03,-325.3770E-03
-1.1400E-03,+100.0000E-03,+5.5151E-03,-526.3820E-03
