x-axis,1,2,3
second,Volt,Ampere,Volt
-2.1400E-03,,,
-2.1300E-03,,,
-2.1200E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-2.1100E-03,+100.0000E-03,+4.9767E-03,-374.3720E-03
-2.1000E-03,+100.0000E-03,+6.5327E-03,-244.7077E-03
-2.0900E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-2.0800E-03,+100.0000E-03,+3.1604E-03,-374.3720E-03
-2.0700E-03,+100.0000E-03,+4.1977E-03,-374.3720E-03
-2.0600E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-2.0500E-03,+100.0000E-03,+6.2723E-03,-374.3720E-03
-2.0400E-03,+100.0000E-03,+3.2896E-03,-374.3720E-03
-2.0300E-03,+100.0000E-03,+4.3269E-03,-374.3720E-03
-2.0200E-03,+157.0320E-03,+5.3642E-03,-374.3720E-03
-2.0100E-03,+100.0000E-03,+2.6438E-03,-374.3720E-03
-2.0000E-03,+100.0000E-03,+3.4187E-03,-218.6735E-03
-1.9900E-03,+100.0000E-03,+4.5892E-03,-374.3720E-03
-1.9800E-03,+100.0000E-03,+3.5519E-03,-374.3720E-03
-1.9700E-03,+100.0000E-03,+6.5307E-03,-173.4683E-03
-1.9600E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.9500E-03,+100.0000E-03,+4.5852E-03,-374.3720E-03
-1.9400E-03,+100.0000E-03,+5.6225E-03,-374.3720E-03
-1.9300E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.9200E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.9100E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.9000E-03,+100.0000E-03,+5.7517E-03,-374.3720E-03
-1.8900E-03,+175.2762E-03,-994.9E-06,-374.3720E-03
-1.8800E-03,+154.5299E-03,+7.8263E-03,-238.0471E-03
-1.8700E-03,+100.0000E-03,+4.2018E-03,-374.3720E-03
-1.8600E-03,+100.0000E-03,+2.5126E-03,-205.9603E-03
-1.8500E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.8400E-03,+100.0000E-03,+3.9353E-03,-374.3720E-03
-1.8300E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.8200E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.8100E-03,+100.0000E-03,+3.0272E-03,-374.3720E-03
-1.8000E-03,+100.0000E-03,+6.5327E-03,-250.9629E-03
-1.7900E-03,+100.0000E-03,+6.5327E-03,-302.8286E-03
-1.7800E-03,+100.0000E-03,+2.9061E-03,-374.3720E-03
-1.7700E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.7600E-03,+100.0000E-03,+4.8516E-03,-257.4208E-03
-1.7500E-03,+100.0000E-03,+3.8143E-03,-374.3720E-03
-1.7400E-03,+100.0000E-03,+6.2683E-03,-173.3669E-03
-1.7300E-03,+100.0000E-03,+3.2855E-03,-374.3720E-03
-1.7200E-03,+100.0000E-03,+4.3228E-03,-374.3720E-03
-1.7100E-03,+100.0000E-03,+5.3601E-03,-374.3720E-03
-1.7000E-03,+100.0000E-03,+2.6478E-03,-374.3720E-03
-1.6900E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.6800E-03,+141.6142E-03,+2.5126E-03,-374.3720E-03
-1.6700E-03,+100.0000E-03,+3.5560E-03,-374.3720E-03
-1.6600E-03,+180.2804E-03,+2.5187E-03,-374.3720E-03
-1.6500E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.6400E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.6300E-03,+100.0000E-03,+5.6184E-03,-374.3720E-03
-1.6200E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.6100E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.6000E-03,+100.0000E-03,+4.3350E-03,-374.3720E-03
-1.5900E-03,+164.7005E-03,+3.2977E-03,-374.3720E-03
-1.5800E-03,+100.0000E-03,+6.2804E-03,-374.3720E-03
-1.5700E-03,+154.6110E-03,+6.5327E-03,-374.3720E-03
-1.5600E-03,+100.0000E-03,+4.8394E-03,-374.3720E-03
-1.5500E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.5400E-03,+100.0000E-03,+2.8940E-03,-374.3720E-03
-1.5300E-03,+100.0000E-03,+5.1140E-03,-374.3720E-03
-1.5200E-03,+100.0000E-03,+4.0767E-03,-374.3720E-03
-1.5100E-03,+110.5352E-03,+3.0393E-03,-374.3720E-03
-1.5000E-03,+100.0000E-03,+2.5126E-03,-198.8946E-03
-1.4900E-03,+100.0000E-03,+4.0604E-03,-374.3720E-03
-1.4800E-03,+100.0000E-03,+3.9475E-03,-374.3720E-03
-1.4700E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.4600E-03,+100.0000E-03,+5.8930E-03,-374.3720E-03
-1.4500E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.4400E-03,+100.0000E-03,+5.2269E-03,-374.3720E-03
-1.4300E-03,+175.0331E-03,+2.5126E-03,-374.3720E-03
-1.4200E-03,+165.0247E-03,+3.2814E-03,-374.3720E-03
-1.4100E-03,+144.2784E-03,+4.3188E-03,-374.3720E-03
-1.4000E-03,+100.0000E-03,+3.6892E-03,-374.3720E-03
-1.3900E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.3800E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.3700E-03,+100.0000E-03,+4.5973E-03,-374.3720E-03
-1.3600E-03,+120.9489E-03,+3.5600E-03,-374.3720E-03
-1.3500E-03,+100.0000E-03,+6.5225E-03,-374.3720E-03
-1.3400E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.3300E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.3200E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.3100E-03,+102.3805E-03,+6.5327E-03,-374.3720E-03
-1.3000E-03,+100.0000E-03,+3.6689E-03,-231.1840E-03
-1.2900E-03,+100.0000E-03,+4.7062E-03,-465.6942E-03
-1.2800E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.2700E-03,+100.0000E-03,+2.5126E-03,-185.7762E-03
-1.2600E-03,+100.0000E-03,+5.2472E-03,-374.3720E-03
-1.2500E-03,+100.0000E-03,+4.2099E-03,-374.3720E-03
-1.2400E-03,+100.0000E-03,+3.1726E-03,-374.3720E-03
-1.2300E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.2200E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.2100E-03,+100.0000E-03,+4.9645E-03,-374.3720E-03
-1.2000E-03,+110.6163E-03,+3.0434E-03,-374.3720E-03
-1.1900E-03,+110.1300E-03,+6.0262E-03,-374.3720E-03
-1.1800E-03,+100.0000E-03,+4.0564E-03,-374.3720E-03
-1.1700E-03,+128.7794E-03,+6.5327E-03,-374.3720E-03
-1.1600E-03,+100.0000E-03,+2.9142E-03,-374.3720E-03
-1.1500E-03,+100.0000E-03,+5.8970E-03,-374.3720E-03
-1.1400E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.1300E-03,+100.0000E-03,+6.5327E-03,-238.8576E-03
-1.1200E-03,+100.0000E-03,+6.2602E-03,-374.3720E-03
-1.1100E-03,+165.1057E-03,+2.5126E-03,-374.3720E-03
-1.1000E-03,+100.0000E-03,+4.7305E-03,-374.3720E-03
-1.0900E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.0800E-03,+100.0000E-03,+6.5327E-03,-367.2049E-03
-1.0700E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.0600E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.0500E-03,+100.0000E-03,+3.5641E-03,-374.3720E-03
-1.0400E-03,+100.0000E-03,+6.5327E-03,-374.3720E-03
-1.0300E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.0200E-03,+139.1931E-03,+2.5126E-03,-472.3547E-03
-1.0100E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-1.0000E-03,+100.0000E-03,+2.5126E-03,-374.3720E-03
-990.0E-06,+100.0000E-03,+2.5126E-03,-316.7575E-03
-980.0E-06,+100.0000E-03,+4.3431E-03,-374.3720E-03
-970.0E-06,+100.0000E-03,+5.7395E-03,-374.3720E-03
-960.0E-06,+100.0000E-03,+6.2885E-03,-374.3720E-03
-950.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-940.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-930.0E-06,+167.1215E-03,+6.5327E-03,-374.3720E-03
-920.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-910.0E-06,+100.0000E-03,+3.9232E-03,-374.3720E-03
-900.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-890.0E-06,+100.0000E-03,+3.0474E-03,-374.3720E-03
-880.0E-06,+100.0000E-03,+6.5327E-03,-374.3720E-03
-870.0E-06,+100.0000E-03,+2.5126E-03,-374.3720E-03
-860.0E-06,+151.5415E-03,+3.9556E-03,-374.3720E-03
-850.0E-06,+180.4020E-03,+6.5327E-03,-374.3720E-03
